metal,unit,year,mean,median,min,max,origin_var
Aluminium,kg metal/kg vehicle,2020,0.245611249491411,0.245611249491411,0.245611249491411,0.245611249491411,ICEV
Antimony,kg metal/kg vehicle,2020,0.0011690303918693,0.0011342081716923,0.000742882281875,0.00166016782,ICEV
Beryllium,kg metal/kg vehicle,2020,2.784205277350523e-06,3.263612307692308e-06,1.6208218750000005e-06,3.708775862068965e-06,ICEV
Cerium,kg metal/kg vehicle,2020,1.6019223880867696e-05,1.2509985e-05,1.55e-07,4.909090909090909e-05,ICEV
Cobalt,kg metal/kg vehicle,2020,0.0030385156110153,0.0035618020703448,0.0019480804406249,0.003736865530909,ICEV
Dysprosium,kg metal/kg vehicle,2020,2.088967812771998e-05,1.6636363636363637e-05,5.1875e-07,6.483e-05,ICEV
Erbium,kg metal/kg vehicle,2020,6.75e-08,9e-08,0.0,1.125e-07,ICEV
Europium,kg metal/kg vehicle,2020,7.22443181818182e-08,5.625000000000001e-09,5e-09,2.727272727272728e-07,ICEV
Gadolinium,kg metal/kg vehicle,2020,1.415110600330959e-05,1.626453e-05,5e-09,3.1386684848484855e-05,ICEV
Gallium,kg metal/kg vehicle,2020,1.508899311888094e-05,1.6343124776785715e-05,5e-08,3.26751324137931e-05,ICEV
Germanium,kg metal/kg vehicle,2020,1.5077938911443729e-05,1.8012576551724138e-05,9.5009875e-06,1.864444e-05,ICEV
Gold,kg metal/kg vehicle,2020,0.0001451855651858,0.0001371307255384,9.242975875e-05,0.0002100497510344,ICEV
Indium,kg metal/kg vehicle,2020,5.726814823567059e-06,6.463484716346154e-06,4e-08,1.3572060000000002e-05,ICEV
Lanthanum,kg metal/kg vehicle,2020,0.0033182038550359,0.0038274557231249,0.0,0.0073856121926153,ICEV
Lithium,kg metal/kg vehicle,2020,0.0004207903149148,4.0363758186813184e-05,6.800000000000001e-07,0.003128275,ICEV
Manganese,kg metal/kg vehicle,2020,0.0056068830691978,0.0056068830691978,0.0056068830691978,0.0056068830691978,ICEV
Molybdenum,kg metal/kg vehicle,2020,0.0004880611311479,0.0005573650427586,0.00031045779125,0.0006117581513846,ICEV
Neodymium,kg metal/kg vehicle,2020,0.000894000206922,0.0009751308831249,1.3800000000000002e-05,0.0020978915082758,ICEV
Niobium,kg metal/kg vehicle,2020,3.650818738370717e-05,3.8795396212121214e-05,1.946764875e-05,5.457e-05,ICEV
Palladium,kg metal/kg vehicle,2020,2.2128037657289077e-05,2.4852345e-05,6.2e-07,5.363619103448276e-05,ICEV
Platinum,kg metal/kg vehicle,2020,6.633635169779965e-06,7.231433035714286e-06,1.4153846153846157e-06,1.3312824242424244e-05,ICEV
Praseodymium,kg metal/kg vehicle,2020,2.51061660362031e-05,2.6118255625e-05,5.0625e-07,5.256531172413793e-05,ICEV
Rhenium,kg metal/kg vehicle,2020,2.572131376313342e-07,2.8484061538461533e-07,1.5528750000000002e-07,3.450006896551724e-07,ICEV
